"label","title","discountPrice","soldQuantity","quantity","brand","series","totalRating","features","color","Năm ra mắt","Xuất xứ","Loại card đồ họa","Loại CPU","Dung lượng RAM","Loại RAM","Mô tả ram","Ổ cứng","Dung lượng ổ cứng","Tần số quét","Chất liệu tấm nền","Kích thước màn hình","Công nghệ màn hình","Độ phân giải màn hình","Công nghệ âm thanh","Chất liệu","Kích thước","Trọng lượng","Tính năng đặc biệt","Loại đèn bàn phím","Bảo mật","Webcam","Hệ điều hành","Pin","Wi-Fi","Bluetooth","Cổng giao tiếp"
"Văn phòng","Laptop LG GRAM 2IN1 14T90R-G.AH55A5",20000000,4,4,"lg","gram","2.0","Chip i5-1340P kết hợp cùng Intel Iris Xe Graphics đem lại nhiều tiện ích trong việc giải quyết công việc văn phòng cũng như chỉnh sửa nhẹ hình ảnh Màn hình 14 inch kết hợp cùng độ phủ màu DCI-P3 99% và công nghệ chống chói giúp bạn trải nghiệm được hình ảnh sống động nhưng vẫn bảo vệ được đôi mắt RAM 16GB cùng ổ cứng SSD 512GB giúp bạn tự tin lưu trữ dữ liệu mà không sợ hết Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 1.25 kg, rất dễ dàng để bạn mang theo bên người mà không lo nặng vai","Đen","2021","Nhật Bản","Intel Iris Xe Graphics","Intel Core i5-1340P 1.9 GHz (up to 4.6 GHz, 12MB Cache, 12 lõi/luồng)","16GB","LPDDR5 6000MHz","16GB LPDDR5 6000MHz 1 thanh RAM 16GB","512GB SSD NVMe Gen 4 (1 khe cắm SSD M.2 trống)","512GB","60Hz","Tấm nền IPS","14 inches","Màn hình chống chói Độ sáng 350 nits Độ phủ màu DCI-P3 99%","1920 x 1200 pixels (FullHD+)","Âm thanh HD cùng với Dolby Atmos","","31.4 x 21.95 x 1.68 cm (Dài x Rộng x Cao)","1.25 kg","Wi-Fi 6","","","Webcam IR FHD IR có nhận diện khuôn mặt","Windows 11 Home","72 Wh Li-Ion","Intel Wireless-AX211","BT 5.1","2x USB 4 Gen3x2 Type C USB Type A"
"Gaming","Laptop Lenovo IdeaPad Gaming 3 15ACH6 82K201BBVN",18000000,38,33,"lenovo","ideapad","1.5","AMD Ryzen 5 5600H - GeForce GTX 1650 Đủ sức chiến đa số tựa game ở mức setting trung bình 8GB ram + 1 khe trống cho phép nâng cấp tối đa 16GB Lưu trữ tốt hơn với 512GB SSD + 1 khe để nâng cấp Màn hình 120hz, giúp trải nghiệm giải trí tuyệt vời hơn","Đen","2024","Hàn Quốc","NVIDIA GeForce GTX 1650 4GB GDDR6","AMD Ryzen 5 5600H","8GB","DDR4 Bus 3200","8GB DDR4 Bus 3200 8GB Gắn sẵn + 1 khe trốngNâng cấp tối đa 16GB","512GB SSD M.2 2242 PCIe","512GB","","Tấm nền IPS","15.6 inches","IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer","1920 x 1080 pixels (FullHD)","High Definition (HD) Audio","","359.6 x 251.9 x 24.2 mm","2.25 kg","Wi-Fi 6, Công nghệ Intel Gaming","","Firmware TPM 2.0","720p with Camera","Windows 11 Home","3Cell 45WH","Wi-Fi 6 11ax, 2x2","Bluetooth 5.0","2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 1x HDMI 2.0 1x Ethernet (RJ-45) 1x Headphone / microphone combo jack (3.5mm) 1x Power connector"
"Văn phòng","Laptop MSI Modern 14 B11SBU-668VN",19000000,76,71,"msi","modern","1.6","Chip Core i5-1155G7 cùng card rời MX450 cho khả năng chiến các tựa game như Fifa, LoL, edit video ngắn Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà. Màn hình 14.0 inch độ phân giải Full HD - thoả sức giải trí. Đàm thoại rõ ràng - công nghệ MSI Sound Tune phát hiện giọng nói bằng AI giúp đảm bảo chất lượng cuộc gọi. Thiết kế vỏ nhựa cứng cáp, nặng 1.3 kg thuận tiện di chuyển, mang theo. Máy đi kèm Windows 10 bản quyền.","Xám","2023","Singapore","NVIDIA GeForce MX450 2GB GDDR5","Intel® Core™ i5-1155G7 (2.50GHz - 4.50GHz, 4 nhân 8 luồng, 8MB Cache)","8GB","DDR4 3200MHz","8GB DDR4 3200MHz","512GB SSD PCIe NVMe™ Gen3x4","512GB","","Tấm nền IPS","14 inches","60Hz, 45%NTSC","1920 x 1080 pixels (FullHD)","2x 2W Speaker","Vỏ kim loại","319 x 219 x 16.9-18.1 (mm)","1.3 kg","Wi-Fi 6","","","HD 720p","Windows 10 Home SL","3 Cell 52WHr","802.11 ax Wi-Fi 6","v5.1","1x Type-C USB3.2 Gen2  2x Type-A USB3.2 Gen2  1x (4K @ 60Hz) HDMI  1x Mic-in/Headphone-out Combo Jack"
"Gaming","Laptop ASUS Vivobook Pro M6500QC-MA002W",15000000,57,15,"asus","vivobook","3.3","Chip R5-5600H cùng card rời RTX 3050 cho khả năng chiến các tựa game nặng, chỉnh sửa hình ảnh trên PTS, Render video ngắn mượt mà. Dung lượng Ram lớn 16GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag. Bàn phím được tích hợp đèn Backlit Chiclet Keyboard - Thỏa sức làm việc trong môi trường thiếu sáng Cổng kết nối đa dạng - Thuận tiện cho người dùng. Trang bị cảm biến vân tay - Mở khóa máy chỉ với 1 chạm. Tích hợp webcam 1080p HD cho phép đàm thoại thông qua video thoải mái. Thiết kế vỏ nhựa cứng cáp, nặng 1.8 kg thuận tiện di chuyển, mang theo. Máy đi kèm Windows 11 bản quyền.","Bạc","2021","Đài Loan","NVIDIA® GeForce® RTX™ 3050 Laptop GPU","AMD Ryzen™ 5 5600H Mobile Processor","16GB","DDR4","16GB DDR4","512GB SSD","512GB","","Tấm nền OLED/AMOLED","15.6 inches","OLED 16:9 aspect ratio","2880 x 1800 pixels","Built-in speakerBuilt-in array microphone harman/kardon (Mainstream)","Vỏ nhựa","35.98 x 23.43 x 1.89 ~ 1.99 cm","1.80 kg","Wi-Fi 6, Bảo mật vân tay, Màn hình Oled","Backlit Chiclet Keyboard","Bảo mật vân tayMật khẩu","1080p FHD camera with privacy shutter","Windows 11","70WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6(802.11ax) (Dual band) 2*2","Bluetooth 5.2","1x USB 3.2 Gen 1 Type-A1x USB 3 2 Gen 2 Type-C support display / power delivery2x USB 2.0 Type-A1x HDMI 1.41x 3.5mm Combo Audio Jack1x DC-in Micro SD card reader"
"Gaming","Laptop ASUS TUF Dash Gaming F15 FX516PC-HN558W",14000000,45,28,"asus","tuf",0,"8GB Ram + 1 khe trống nâng cấp tối đa đến 32GB 512GB SSD - Lưu trữ thoải mái, khởi động máy nhanh hơn Chiến game siêu mượt 144hz - thoải mái chiến mọi tựa game FPS hay moba, vượt qua giới hạn 60fps Card RTX3050 - Xử lý tốt các tựa game nặng nhất hay những tác vụ đồ hoạ","Xám","2022","Trung Quốc","NVIDIA GeForce RTX 3050 4GB GDDR6","Intel Core i5-11300H","8GB","DDR4","8GB DDR4  1 khe cắm SO-DIMM hỗ trợ tối đa 32GB","512GB M.2 NVMe™ PCIe® 3.0 SSD (1 khe trống PCIe)","512GB","","Tấm nền IPS","15.6 inches","Tần số 144Hz, màn hình chống loáĐộ sáng 250 nit, công nghệ Adaptive-SyncĐộ phủ màu 45% NTSC,  62.50% SRGB,  47.34% Adobe","1920 x 1080 pixels (FullHD)","Loa kép","Vỏ nhựa","36.0 x 25.2 x 1.99 ~ 1.99 cm","2 kg","Wi-Fi 6","","Khoá vật lý Kensington   Hệ thống bảo mật BIOS   Chip bảo mật TPM","","Windows 11 Home SL","76WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6(802.11ax)","v5.1","1x Thunderbolt™ 4 hỗ trợ DisplayPort™ / power delivery   3x USB 3.2 Gen 1 Type-A  1x HDMI 2.0b   1x 3.5mm Combo Audio Jack"
"Sinh viên","Laptop ASUS ZenBook Flip UX363EA",14000000,43,29,"asus","zenbook","2.4","Thiết kế siêu mỏng nhẹ sang trọng, nặng chỉ 1,3kg Chip Core i5-1135G7 xử lý tốt mọi tác vụ từ làm việc đến giải trí. Ổ cứng SSD 5126GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag. Viền màn hình siêu mỏng, màn hình 13.3 inches, cảm ứng đa điểm, xoay gập 360 độ với độ phân giải Full HD trên tấm nền OLED mang lại chất lượng hiển thị rõ nét, mượt mà. Tích hợp webcam HD cho phép đàm thoại thông qua video thoải mái. Loa SonicMaster audio - mang lại trải nghiệm giải trí chân thật. Năng lượng bất tận cả ngày với viên pin 4-cell, 67Wh. Máy đi kèm Windows 10 bản quyền.","Xám","2021","Singapore","Intel® Iris® Xe Graphics","Intel® Core™ i5-1135G7, 4.20Ghz, 8 MB cache, 4 cores 8 threads","8GB","LPDDR4X 4266MHz, không hỗ trợ nâng cấp","8GB LPDDR4X 4266MHz, không hỗ trợ nâng cấp","512GB PCIe® NVMe™ 3.0 x2 M.2 SSD","512GB","","Tấm nền OLED/AMOLED","13.3 inches","13.3 inch LED-backlit FHD OLED (1920 x 1080) 16:9 slim-bezel NanoEdge, 3.9 mm-thin side bezel1","1920 x 1080 pixels (FullHD)","SonicMaster audio","","1.39cm x 30.5cm x 21.1cm","1.3 kg","Viền màn hình siêu mỏng, Wi-Fi 6, Màn hình cảm ứng, Xoay gập 360 độ (2 in 1), Công nghệ Intel Evo","","","HD webcamCamera IR","Windows 10 Home SL","4-cell, 67Wh","Intel Wi-Fi 6 AX201(2*2 ax)","Bluetooth 5.0","2 x Thunderbolt™ 4 USB-C® (up to 40 Gbps), 1 x USB 3.2 Gen 1 Type-A (up to 5 Gbps), 1 x Standard HDMI"
"Văn phòng","Laptop Asus Vivobook A415EA EB1474W",15000000,30,68,"asus","vivobook",0,"Chip Core i5-1135G7 tiết kiệm pin, hiệu năng ổn định thích hợp làm văn phòng. Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag. Màn hình chống lóa, độ phân giải Full HD, kích thước 14.0 inch, tấm nền IPS mang lại chất lượng hiển thị sắc nét, sống động, bảo vệ mắt tối đa. Tích hợp webcam 720p cho phép đàm thoại thông qua video thoải mái. Năng lượng bất tận cả ngày với viên pin 42WHrs, 3-cell Li-ion. Thiết kế vỏ nhựa cứng cáp, nặng 1.3 kg thuận tiện di chuyển, mang theo. Máy đi kèm Windows 11 bản quyền.","Đen","2024","Singapore","Intel Iris Xᵉ Graphics","Intel® Core™ i5-1135G7","8GB","DDR4","8GB DDR4","512GB M.2 NVMe™ PCIe® 3.0 SSD","512GB","","Tấm nền IPS","14 inches","Màn hình chống loá","1920 x 1080 pixels (FullHD)","2 Loa","Vỏ nhựa","32.40 x 21.50 x 1.79 ~ 1.79 cm","1.40 kg","Wi-Fi 6","","","HD 720p","Windows 11 Home SL","42WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2","v5.0","1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 2.0 Type-A//1x HDMI 1.4  1x 3.5mm Combo Audio Jack//Micro SD card reader"
"Văn phòng","Laptop ASUS VivoBook 15X A1503ZA-L1422W",25000000,36,8,"asus","vivobook",0,"Khả năng hiển thị rực rỡ - màn hình 15.6 inch, tấm nền Oled độ phân giải Full HD Trải nghiệm mượt mà - 8GB ram onboard + 1 khe trống để nâng cấp Chỉnh sửa ảnh trên máy thoải mái - độ phủ màu 100% DCI-P3 Webcam 720p cho phép đàm thoại thông qua video","Xanh","2021","Singapore","Intel Iris Xe Graphics","Intel Core i5-12500H","8GB","DDR4","8GB DDR4  8gb oboard + 1 khe cắm rời hỗ trợ nâng cấp","512GB M.2 NVMe™ PCIe® 3.0 SSD","512GB","","Tấm nền OLED/AMOLED","15.6 inches","Hỗ trợ dải màu 100% DCI-P3 Tỷ lệ tương phản 1,000,000:1 Chứng nhận hiển thị VESA HDR True Black 600Màn hình hiển thị 1.07 tỷ màuChứng nhận bảo vệ mắt SGS Eye Care Display","1920 x 1080 pixels (FullHD)","Loa kép, công nghệ SonicMaster","Vỏ nhựa","35.68 x 22.76 x 1.99","1.7kg","Wi-Fi 6","LED đơn sắc","Mật khẩu bảo vệ BIOS và người dùng   Chip bảo mật TPM  Khoá vân tay  Phần mềm McAfee LiveSafe dùng thử 30 ngày","720P","Windows 11 Home SL","70WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6(802.11ax) (Dual band) 2*2","v5.0","1x HDMI 1.4 1x Combo mic tai nghe 3.5mm   1x DC-in// 1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C2x USB 3.2 Gen 1 Type-A"
"Gaming","Laptop Lenovo Gaming Legion 5 15ARH7H 82RD004UVN",19000000,66,66,"lenovo","legion",0,"AMD Ryzen 7 6800H - GeForce RTX 3060 Cấu hình chơi game và đồ họa đỉnh cao, cân mọi tựa game. Dung lượng Ram lớn 16GB + 1 khe trống cho phép nâng cấp tối đa đến 32GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag. Độ phân giải 2K (Quad HD), tấm nền IPS, kích thước chuẩn 15.6 inch, mang lại trải nghiệm hình ảnh chân thật, sắc nét. Tích hợp webcam 1080p cho phép đàm thoại thông qua video thoải mái. Bàn phím được tích hợp đèn nền RGB 4 vùng - Thỏa sức làm việc trong môi trường thiếu sáng. Trọng lượng 2.4 kg mang lại cảm giác cầm chắc tay. Máy đi kèm Windows 11 bản quyền.","Xám","2023","Hàn Quốc","NVIDIA GeForce RTX 3060","AMD Ryzen 7 6800H","16GB","DDR5-4800","16GB DDR5-4800 2 khe cắm, hỗ trợ tối đa 32GB","512GB SSD M.2 2280 PCIe 4.0x4 NVMe","512GB","","Tấm nền IPS","15.6 inches","IPS 300nits Anti-glare, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC dimmer","2560x1440 (Quad HD)","High Definition (HD) Audio, Realtek ALC3287 codec","","358.8 x 262.35 x 19.99 mm","2.4 kg","Wi-Fi 6","Đèn nền RGB 4 vùng","","FHD 1080p","Windows 11 Home","80Wh","Wi-Fi 6 11ax","v5.2","2x USB 3.2 Gen 1  1x USB 3.2 Gen 1 (Always On)  2x USB-C 3.2 Gen 2 (support data transfer and DisplayPort 1.4)  1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 135W and DisplayPort 1.4)"
"Gaming","Laptop Lenovo Ideapad Gaming 3 15ACH6 82K2008WVN",14000000,16,4,"lenovo","ideapad","1.8","Hiệu ứng game rực rỡ - Card đồ hoạ RTX3050 cùng công nghệ Ray Tracing 8GB Ram + 1 khe trống cho phép nâng cấp tối đa 16GB, đa nhiệm mượt mà Vượt qua giới hạn 60FPS với màn hình 120Hz 512GB SSD - Khởi động máy nhanh hơn, lưu trữ thoải mái","Đen","2023","Trung Quốc","NVIDIA GeForce RTX 3050 4GB GDDR6","AMD Ryzen 5 5600H (6C / 12T, 3.3 / 4.2GHz, 3MB L2 / 16MB L3)","8GB","DDR4-3200","8GB DDR4-3200 2 kheTối đa 16GB","512GB SSD M.2 2242 PCIe 3.0x4 NVMe  1 khe trống","512GB","","Tấm nền IPS","15.6 inches","IPS 250nits Anti-glare Tần số quét 120Hz Độ phủ màu 45% NTSC","1920 x 1080 pixels (FullHD)","Stereo speakers  2W x2  Nahimic Audio  High Definition (HD) Audio  Realtek ALC3287 codec","Vỏ nhựa","359.6 x 251.9 x 24.2 mm (WxDxH)","2.25 kg","Wi-Fi 6","RGB 4 vùng","","720p với màn trập","Windows 11 Home 64","45Wh","6 11ax, 2x2","5.0","2x USB 3.2 Gen 1  1x USB-C 3.2 Gen 1 (Chỉ hỗ trợ truyền dữ liệu) 1x HDMI 2.0 1x Ethernet (RJ-45) 1x Headphone / microphone combo jack (3.5mm) 1x Đầu nối nguồn"
"Sinh viên","Laptop HP Envy X360 13-BD0063DX",12000000,37,16,"hp","envy","3.1","Được trang bị màn hình 13.3 inch nhỏ gọn, khung viền mỏng nhẹ với trọng lượng chỉ 1.32 kg. Độ phân giải Full HD mang lại khả năng hiển thị sắc nét. Máy hỗ trợ màn hình cảm ứng đa điểm cùng độ sáng lên đến 1000 nits giúp người dùng dễ dàng thao tác, thỏa sức sáng tạo. Chip Intel i5-1135G7, RAM 8GB cùng ổ cứng 256GB SSD PCIE giúp máy hoạt động ổn định và mượt mà ở nhiều tác vụ khác nhau. Thiết kế bản lề có khả năng xoay gập lên đến 360 độ cho phép chỉnh góc nhìn cũng như chia sẻ hình ảnh, dữ liệu với bạn bè, đồng nghiệp mà không cần di chuyển máy phức tạp.","Vàng","2023","Trung Quốc","Intel Iris Xe Graphics","Intel® Core™ i5-1135G7 (2.40GHz up to 4.20GHz, 8MB)","8GB","DDR4 3200Mhz","8GB DDR4 3200Mhz","256GB PCIe® NVMe™ M.2 SSD","256GB","","Tấm nền IPS","13.3 inches","Corning® Gorilla® Glass NBT™, 1000 nits, 72% NTSC","1920 x 1080 pixels (FullHD)","","","30.65 x 19.46 x 1.64 cm","1.32 kg","Wi-Fi 6, Màn hình cảm ứng, Xoay gập 360 độ (2 in 1)","","","HD 720p","Windows 10 Home SL","3Cell, 51WHr","Intel® Wi-Fi 6 AX201 (2x2)","v5.0","1 x Thunderbolt™ 4 with USB4™ Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)    1 x SuperSpeed USB Type-C® 5Gbps signaling rate    1 x SuperSpeed USB Type-A 5Gbps signaling rate (HP Sleep and Charge)"
"Gaming","Laptop MSI Katana GF66 11UD-696VN",14000000,71,66,"msi","katana","3.9","""- Chip I7-11800H cùng card RTX 3050Ti - Xử lý mượt mà các tác vụ đồ hoạ 3D hay các tựa game nặng.  Ram 8GB với 1 khe cắm có thể nâng cấp tối đa lên 32GB cùng ổ cứng SSD 512GB, tốc độ load ứng dụng nhanh chóng.  Tần số quét 144Hz, vượt qua giới hạn 60FPS khi chiến game.  Thiết kế vỏ nhựa cứng cáp, nặng 2.25 kg cho cảm giác cầm chắc tay.  Máy đi kèm Windows 11 Home bản quyền.""","Đen","2023","Hàn Quốc","NVIDIA GeForce RTX 3050Ti 4GB GDDR6","Intel Core i7-11800H","8GB","DDR4 3200MHz","8GB DDR4 3200MHz 2 khe cắm tối đa 32GB","512GB SSD M.2 NVMe PCIe Gen3x4","512GB","","Tấm nền IPS","15.6 inches","Tần số quét 144Hz, 45%NTSC","1920 x 1080 pixels (FullHD)","2x2W","Vỏ nhựa","359 x 259 x 24.9 mm","2.25 kg","Wi-Fi 6","","","HD 720p","Windows 11 Home SL","3Cell 53.5WHrs","Intel Wi-Fi 6 AX201(2*2 ax)","v5.2","1 x Type-C USB3.2 Gen1  2 x Type-A USB3.2 Gen1  1 x Type-A USB2.0   1 x (4K @ 60Hz) HDMI    1 x Mic-in/Headphone-out Combo"
"Sinh viên","Laptop Lenovo Thinkbook 14 G3 ACL 21A200CPVN",12000000,89,19,"lenovo","thinkbook","1.0","Thiết kế độc đáo với 2 tone màu lạ mắt, trọng lượng nhẹ chỉ 1.4 kg linh hoạt di chuyển mọi nơi. Bộ vi xử lý AMD Ryzen 5 5500U cải thiện hiệu suất hỗ trợ xử lý mọi tác vụ từ văn phòng cho đến sáng tạo trên các phần mềm đồ họa cơ bản. Dễ dàng chiến vài tựa game thịnh hành với mức cấu hình trung bình nhờ card tích hợp AMD Radeon. RAM 8 GB chuẩn DDR4 đa nhiệm mượt mà, đáp ứng tốt nhu cầu làm việc với mức hiệu năng cao khi mở cùng lúc 20 tabs Chrome. Máy đạt độ bền cấp quân đội MIL STD 810H không lo va chạm, đụng vào những vật cứng gây hư hỏng máy. Tích hợp mật vân tay cho phép mở máy nhanh chỉ với một chạm. Công tắc khóa camera giúp che chắn, tránh được sự dòm ngó của các hacker khi ngồi học tập, làm việc trước máy.","Xám","2024","Nhật Bản","AMD Radeon Graphics","AMD Ryzen 5 5500U (6 lõi / 12 luồng, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)","8GB","8GB Onboard DDR4-32001 khe trống DDR4 3200","8GB 8GB Onboard DDR4-32001 khe trống DDR4 3200 Nâng cấp tối đa 40GB (8GB Onboard + 32GB SO-DIMM) DDR4-3200","512GB SSD M.2 2242 PCIe 3.0x4 NVMe + HDD trống","512GB","","Tấm nền IPS","14 inches","Độ sáng 300nits  Anti-glare  Độ phủ màu 45% NTSC TÜV Rheinland Low Blue Light","1920 x 1080 pixels (FullHD)","High Definition (HD) Audio  Realtek ALC3287 codecLoa âm thanh nổi, 2W x2 Dolby Audio","Vỏ kim loại","323 x 218 x 17.9 mm (W x D x H)","1.4 kg","Wi-Fi 6, Bảo mật vân tay","Không","Firmware TPM 2.0  Khe bảo mật Kensington Nano","HD 720p với màn trập camera","Windows 11 Home 64","45Wh","Wifi 11ac, 2x2","Bluetooth 5.0","1x USB 3.2 Gen 1 1x USB 3.2 Gen 1 (Always On) 2x USB-C 3.2 Gen 2 (Truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4) 1x HDMI 1.4b 1x Đầu đọc thẻ  1x Ethernet (RJ-45) 1x Headphone / microphone combo jack (3.5mm)"
"Sinh viên","Laptop Lenovo Ideapad 5 Pro 14ITL6 82L300MAVN",14000000,96,74,"lenovo","ideapad","4.0","Sở hữu phong cách thiết kế tao nhã, thời thượng với lớp vỏ kim loại bền chắc. Màn hình 14 inch đi kèm độ phân giải 2.2K mãn nhãn thị giác người xem với chất lượng hình ảnh tuyệt hảo, sắc nét đến từng chi tiết. Bộ vi xử lý Intel Core i7-1195G7 giải quyết nhẹ nhàng các nhu cầu học tập và giải trí. RAM 16 GB chuẩn DDR4 nâng cao hiệu suất với các thao tác chuyển động giữa các ứng dụng trở nên nhanh gọn hơn. Khối lượng chỉ vỏn vẹn 1.38 kg luôn sẵn sàng đồng hành cùng người dùng trên mọi chuyến công tác xa.","Xám","2022","Trung Quốc","Intel Iris Xe Graphics","Intel Core i7-1195G7 (4 lõi/8 luồng, 2.9/5.0GHz, 12MB)","16GB","16GB Onboard DDR4-3200","16GB 16GB Onboard DDR4-3200","512GB SSD M.2 2242 PCIe 3.0x4 NVMe","512GB","","Tấm nền IPS","14 inches","Độ sáng 300nits  Màn hình Anti-glare Độ phủ màu 100% sRGB TÜV Low Blue Light","2240 x 1400 pixels","High Definition (HD) Audio  Realtek ALC3287 codec  Loa âm thanh nổi, 2W x2  Dolby Atmos","Vỏ kim loại","312.2 x 221 x 15.99 mm (W x D x H)","1.38 kg","Wi-Fi 6","Có đèn nền","Firmware TPM 2.0  Camera IR hồng ngoại dành cho Windows Hello","ToF, HD 720p & IR","Windows 11 Home 64 Single Language","56.5Wh","Wi-Fi 6 11ax, 2x2","Bluetooth 5.1","1x USB 3.2 Gen 1 1x USB 3.2 Gen 1 (Always On) 1x USB-C 3.2 Gen 1 (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4) 1x USB-C 3.2 Gen 1 (Truyền dữ liệu, Power Delivery 3.0) 1x HDMI 1.4b 1x Đầu đọc thẻ 1x Headphone / microphone co"
"Sinh viên","Laptop HP Envy x360 Convertible 13 AY1056 601Q8PA",20000000,76,26,"hp","envy","1.6","Thiết kế thời trang với các đường nét vuông vức, màn hình cảm ứng đi kèm xoay gập 360 độ cho phép người dùng thuận tiện chia sẻ thông tin. Kích thước máy nhỏ gọn, tối giản và nặng chỉ 1.3 kg dễ dàng mang theo bên mình. CPU AMD Ryzen 7 - 5800U giải quyết nhẹ nhàng mọi công việc trên Word, Excel, PowerPoint,... hay các nhu cầu giải trí cơ bản như lướt web, xem phim, nghe nhạc,... Bộ nhớ RAM 8 GB chuẩn DDR4 Onboard cho phép mở cùng lúc nhiều ứng dụng và trang web, đáp ứng tốt nhu cầu làm việc, học tập và giải trí. Chip đồ họa AMD Radeon Graphics cho khả năng xử lý hình ảnh hay giải trí trên các tựa game như: LOL, Fifa,... Học tập và làm việc trực tuyến chất lượng hơn với hình ảnh rõ nét nhờ HD webcam có độ phân giải 720p.","Đen","2022","Singapore","Card tích hợp, AMD Radeon Graphics","AMD Ryzen 7 - 5800U, 1.9GHz","8GB","8 GB DDR4 (On board), 3200 MHzKhông hỗ trợ nâng cấp","8GB 8 GB DDR4 (On board), 3200 MHzKhông hỗ trợ nâng cấp","256 GB SSD NVMe PCIe","256GB","","Tấm nền IPS","13.3 inches","100% sRGB, 400 nits, Công nghệ IPS","1920 x 1080 pixels (FullHD)","Bang & Olufsen audio","Vỏ kim loại","306.5 - 194.6 - 16.4 mm (Dài x Rộng x Dày)","1.3 kg","Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay, Xoay gập 360 độ (2 in 1)","","","HD webcam","Windows 11 Home SL","3-cell Li-ion, 51 Wh","Wi-Fi 6 (802.11ax)","5.2","2x SuperSpeed USB A  1x Jack tai nghe 3.5 mm   1x USB Type-C (Power Delivery and DisplayPort)"
"Văn phòng","Laptop Dell Inspiron 13 7000 I7306-5934SLV-PUS",18000000,34,25,"dell","inspiron","3.3","Chip Core I5-1135G7 tiết kiệm pin, hiệu năng ổn định thích hợp làm văn phòng. Ổ cứng SSD 512GB - mang đến khả năng đa nhiệm nhiều tác vụ cùng lúc, tiết kiệm tối đa thời gian mở máy. Màn hình lớn có độ sáng cao, dải màu rộng với viền siêu mỏng cho không gian hiển thị được tối ưu. Màn hình công nghệ hiện đại HDR với Dolby Vision ™ - Mang tới màu sắc cực chất lượng. Tích hợp webcam 720p HD cho phép đàm thoại thông qua video thoải mái. Thiết kế mỏng nhẹ - chỉ 1,3 kg, đồng hành cùng bạn khắp mọi nơi.","Bạc","2022","Singapore","Intel Iris Xe Graphics","Intel Core i5-1135G7","8GB","LPDDR3, 2133MHz","8GB LPDDR3, 2133MHz","512GB SSD","512GB","","Tấm nền IPS","13.3 inches","","1920 x 1080 pixels (FullHD)","","","305.2mm x 197.8mm x 16.50mm","1.3kg","Wi-Fi 6, Màn hình cảm ứng, Xoay gập 360 độ (2 in 1)","","","720p","","","Intel Wi-Fi 6 2x2","v5.0",""
"Sinh viên","Laptop Lenovo ideapad 5 15ITL05 82FG01H8VN",14000000,59,22,"lenovo","ideapad",0,"Thiết kế thanh lịch, phù hợp cho học sinh, dân văn phòng 8GB Ram Onboard - Xử lý mượt mà các tác vụ các tác vụ hằng ngày 256GB SSD - Giúp máy khởi động & load ứng dụng nhanh hơn Màn hình 15.6 inch, độ phân giải màn hình Full HD - Hiển thị rõ ràng","Xám","2024","Singapore","Intel Iris Xe Graphics","Intel Core i5-1135G7","8GB","DDR4-3200","8GB DDR4-3200 Onboard","256GB SSD","256GB","","Tấm nền IPS","15.6 inches","Anti-glare","1920 x 1080 pixels (FullHD)","High Definition (HD) Audio","","356.67 x 233.13 x 17.9-19.9 mm","1.66 kg","","","","720p","Windows 11 Home","3 Cell 45Wh","Wi-Fi 6 11ax","Bluetooth 5.1","1x USB 3.2 Gen 1  1x USB 3.2 Gen 1  1x USB-C 3.2 Gen 1 1x HDMI 1.4b  1x Card reader  1x Headphone / microphone combo"
